Codigo do Investidor,Data de Adesao,Estado Civil,Genero,Profissao,Idade,UF do Investidor,Cidade do Investidor,Pais do Investidor,Situacao da Conta,Operou 12 Meses
2256348,31/07/2017,Solteiro(a),M,TABELIÃO,31,SP,SAO PAULO,BRASIL,A,S
2261146,01/08/2017,Solteiro(a),M,FÍSICO,54,SP,SAO PAULO,BRASIL,A,N
2263469,12/03/2018,Desquitado(a),M,AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS,45,SP,SANTO ANDRE,BRASIL,A,N
2261370,01/08/2017,Desquitado(a),M,ENGENHEIRO,43,MG,BELO HORIZONTE,BRASIL,A,S
2256782,09/05/2024,Solteiro(a),F,OUTROS,10,RN,NATAL,BRASIL,A,S
2261488,01/08/2017,Desquitado(a),M,MÉDICO,38,CE,FORTALEZA,BRASIL,A,S
2240360,11/11/2021,Desquitado(a),F,ADMINISTRADOR,36,RJ,MACAE,BRASIL,A,S
2240516,25/01/2023,Solteiro(a),F,ENGENHEIRO,26,DF,BRASILIA,BRASIL,A,S
15698099,02/03/2022,Desquitado(a),M,COORDENADOR E SUPERVISOR,50,SP,SAO PAULO,BRASIL,A,N
15657945,20/09/2023,Solteiro(a),M,"TÉCNICO DE ELETRICIDADE, ELETRÔNICA E TELECOMUNICAÇÕES",37,PR,ARAUCARIA,BRASIL,A,N
15699503,14/12/2020,Desquitado(a),M,ADMINISTRADOR,73,SP,ARARAQUARA,BRASIL,A,N
15648920,11/12/2020,Solteiro(a),F,MÉDICO,31,CE,QUIXADA,BRASIL,A,N
15683052,06/10/2023,Desquitado(a),M,OUTROS,39,MG,UBERLANDIA,BRASIL,A,N
7769170,04/09/2019,Solteiro(a),F,OUTROS,30,MG,ITATIAIUCU,BRASIL,A,S
7773264,05/08/2022,Desquitado(a),M,ENFERMEIRO E NUTRICIONISTA,47,SP,CAMPINAS,BRASIL,A,N
7777177,16/09/2019,Desquitado(a),M,OUTROS,39,RJ,RIO DE JANEIRO,BRASIL,A,N
7780145,07/10/2022,Solteiro(a),M,PROPRIETARIO DE MICROEMPRESAS,26,GO,HIDROLANDIA,BRASIL,A,N
7791947,06/10/2023,Solteiro(a),F,EMPRESÁRIO,45,RJ,NITEROI,BRASIL,A,N
7751379,11/05/2020,Desquitado(a),M,OUTROS,47,RJ,RIO DE JANEIRO,BRASIL,A,N
4606376,10/12/2018,Solteiro(a),F,ENGENHEIRO,28,SP,ARARAS,BRASIL,A,S
4616952,11/12/2018,Desquitado(a),M,ENGENHEIRO,31,ES,SERRA,BRASIL,A,N
4598016,13/04/2021,Solteiro(a),F,OUTROS,34,MA,SAO JOSE DE RIBAMAR,BRASIL,A,S
4601881,10/12/2018,Casado(a) com brasileiro(a) naturalizado(a),M,DESENHISTA INDUSTRIAL,35,SP,MOGI DAS CRUZES,BRASIL,A,N
4614893,08/08/2022,Solteiro(a),M,ESTUDANTE,21,AM,MANAUS,BRASIL,A,S
4629794,02/08/2019,Desquitado(a),M,OUTROS,41,SP,MOGI DAS CRUZES,BRASIL,A,N
4604045,03/10/2023,Desquitado(a),M,ELETRICISTA E ASSEMELHADOS,32,SP,SAO PAULO,BRASIL,A,N
4606640,10/12/2018,Solteiro(a),F,ADMINISTRADOR,31,BA,SALVADOR,BRASIL,D,N
4607918,05/08/2021,Solteiro(a),M,MILITAR EM GERAL,29,RJ,SAO JOAO DE MERITI,BRASIL,A,S
4617187,11/12/2018,Casado(a) com brasileiro(a) naturalizado(a),M,DIRETOR DE EMPRESAS,46,SC,CRICIUMA,BRASIL,A,N
5920637,01/04/2019,Solteiro(a),F,ODONTÓLOGO E DENTISTA,29,RJ,RIO DE JANEIRO,BRASIL,D,N
5940449,06/07/2021,Desquitado(a),M,OUTROS,48,MG,SANTA RITA DO SAPUCAI,BRASIL,A,S
5933097,03/08/2021,Divorciado(a),M,PSICÓLOGO,38,BA,LUIS EDUARDO MAGALHAES,BRASIL,A,S
5940838,16/12/2020,Divorciado(a),M,OUTROS,50,SP,SAO PAULO,BRASIL,A,N
5941919,06/01/2020,Solteiro(a),M,OUTROS,31,SP,SERRANA,BRASIL,A,N
5926051,20/04/2021,Solteiro(a),F,OUTROS,35,TO,WANDERLANDIA,BRASIL,A,N
5934053,09/09/2022,Solteiro(a),M,ESTUDANTE,25,BA,SALVADOR,BRASIL,A,N
5947351,02/04/2019,Desquitado(a),M,SERVIDO PÚBLICO ESTADUAL,38,RS,PORTO ALEGRE,BRASIL,A,N
29399927,04/04/2023,Solteiro(a),M,PROFESSOR DE PRIMEIRO E SEGUNDO GRAUS,39,SP,SAO PAULO,BRASIL,A,N
29335832,17/01/2022,Desquitado(a),F,ODONTÓLOGO E DENTISTA,33,RS,SANTA ROSA,BRASIL,A,N
29403138,24/01/2022,Solteiro(a),M,ODONTÓLOGO E DENTISTA,29,RS,SANTA CRUZ DO SUL,BRASIL,A,N
29345966,21/11/2023,Solteiro(a),M,OUTROS,25,SP,SAO PAULO,BRASIL,A,N
29307256,22/09/2023,Desquitado(a),F,OUTROS,45,SP,SAO JOSE DO RIO PRETO,BRASIL,A,N
29308326,24/01/2022,Desquitado(a),M,AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS,41,SP,RIBEIRAO PRETO,BRASIL,A,S
29338298,19/04/2022,Casado(a) com brasileiro(a) naturalizado(a),M,OUTROS,42,PR,MARIALVA,BRASIL,A,N
5090748,24/01/2019,Solteiro(a),M,ESTUDANTE,31,PR,FORMOSA DO OESTE,BRASIL,A,N
5103775,04/02/2019,Divorciado(a),M,ADMINISTRADOR,43,SP,SAO PAULO,BRASIL,A,S
5114221,13/04/2021,Solteiro(a),F,"BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",25,SP,AMPARO,BRASIL,A,S
5107061,18/11/2019,Desquitado(a),M,OUTROS,47,SP,CAMPINAS,BRASIL,A,N
5112128,04/05/2021,Solteiro(a),M,VETERINÁRIO E ZOOTECNISTA,32,DF,BRASILIA,BRASIL,A,N
5130994,28/01/2019,Desquitado(a),M,OUTROS,46,BA,LAURO DE FREITAS,BRASIL,D,N
5121706,18/03/2021,Solteiro(a),M,SERVIDOR PÚBLICO MUNICIPAL,24,SC,PENHA,BRASIL,A,S
5127150,28/01/2019,Desquitado(a),M,MÉDICO,36,RJ,NITEROI,BRASIL,A,S
