Codigo do Investidor,Data da Operacao,Tipo Titulo,Vencimento do Titulo,Quantidade,Valor do Titulo,Valor da Operacao,Tipo da Operacao,Canal da Operacao
6925252,11/05/2023,Tesouro Prefixado,01/01/2026,"0,66","750,06","495,03",C,H
21265869,29/05/2023,Tesouro Selic,01/03/2029,"1,01","0,00","13271,88",V,H
10748828,12/05/2023,Tesouro Selic,01/03/2029,"0,01","0,00","130,70",C,H
41974929,30/05/2023,Tesouro Selic,01/03/2026,"0,13","0,00","1724,22",C,H
35878938,10/05/2023,Tesouro IPCA+,15/05/2035,"0,02","2076,86","41,53",C,H
539162,17/05/2023,Tesouro IPCA+,15/05/2045,"4,95","1172,07","5801,74",C,H
41272175,12/05/2023,Tesouro IPCA+ com Juros Semestrais,15/08/2032,"0,01","4263,65","42,63",C,H
651095,10/05/2023,Tesouro Selic,01/03/2029,"0,62","0,00","8090,33",C,H
6535322,29/05/2023,Tesouro Selic,01/03/2027,"0,04","0,00","528,30",V,H
620651,11/05/2023,NTN-B1,15/12/2049,"0,12","1669,94","200,39",C,H
41315071,05/05/2023,Tesouro IPCA+,15/05/2029,"0,16","2967,29","474,76",C,H
634748,26/05/2023,Tesouro Prefixado,01/01/2029,"0,91","545,65","496,54",C,H
960227,02/05/2023,Tesouro Prefixado,01/01/2026,"5,39","741,19","3995,01",C,H
7420191,04/05/2023,Tesouro IPCA+,15/05/2035,"0,02","2049,37","40,98",C,H
17633158,04/05/2023,Tesouro IPCA+,15/05/2035,"0,02","2049,37","40,98",C,H
572274,30/05/2023,Tesouro Selic,01/03/2027,"0,39","0,00","5154,78",V,H
5219705,03/05/2023,Tesouro IPCA+,15/05/2045,"0,03","1134,78","34,04",C,H
22156230,16/05/2023,Tesouro Selic,01/03/2025,"0,01","0,00","132,16",V,H
7127667,22/05/2023,Tesouro Prefixado,01/01/2026,"1,21","752,32","910,30",V,H
29389560,11/05/2023,Tesouro Selic,01/03/2029,"0,31","0,00","4047,40",V,H
14727113,15/05/2023,Tesouro IPCA+,15/05/2029,"0,03","3003,77","90,11",C,H
2045066,19/05/2023,Tesouro Selic,01/03/2026,"0,52","0,00","6871,12",C,H
3311263,04/05/2023,Tesouro IPCA+,15/08/2026,"0,03","3435,57","103,06",V,H
8834601,30/05/2023,Tesouro IPCA+ com Juros Semestrais,15/08/2032,"0,46","4345,60","1998,97",C,H
43615273,25/05/2023,Tesouro Selic,01/03/2026,"0,75","0,00","9931,11",C,H
29534047,23/05/2023,Tesouro Selic,01/03/2025,"0,07","0,00","927,57",V,H
17158397,08/05/2023,Tesouro Selic,01/03/2026,"0,11","0,00","1445,56",C,H
4681007,10/05/2023,Tesouro Selic,01/03/2026,"0,02","0,00","263,16",C,H
33082362,11/05/2023,Tesouro Selic,01/03/2026,"0,01","0,00","131,66",C,H
15788648,03/05/2023,NTN-B1,15/12/2079,"0,11","293,64","32,30",C,H
9622029,31/05/2023,Tesouro Selic,01/03/2029,"0,14","0,00","1842,61",C,H
1387738,18/05/2023,Tesouro Selic,01/03/2027,"3,44","0,00","45266,47",V,H
41036244,30/05/2023,Tesouro Selic,01/03/2026,"0,22","0,00","2917,05",V,H
15472868,24/05/2023,Tesouro Selic,01/09/2024,"0,15","0,00","1989,39",V,H
1043753,08/05/2023,Tesouro Selic,01/03/2029,"0,17","0,00","2214,30",C,H
34521787,31/05/2023,Tesouro Selic,01/03/2026,"0,06","0,00","796,19",C,H
1858700,05/05/2023,Tesouro Selic,01/03/2029,"1,11","0,00","14446,69",C,H
1051015,17/05/2023,Tesouro IPCA+,15/05/2045,"1,53","1172,07","1793,26",C,H
41284817,17/05/2023,Tesouro Prefixado,01/01/2029,"0,06","535,06","32,10",V,H
43468880,04/05/2023,Tesouro IPCA+ com Juros Semestrais,15/08/2032,"0,73","4208,66","3072,32",C,H
432823,29/05/2023,Tesouro Selic,01/03/2029,"0,25","0,00","3287,24",C,H
20467668,18/05/2023,NTN-B1,15/12/2064,"17,00","719,84","12237,28",C,H
27384511,18/05/2023,Tesouro Selic,01/03/2029,"0,02","0,00","262,10",C,H
17513940,22/05/2023,Tesouro IPCA+,15/05/2035,"0,56","2140,97","1198,94",C,H
30697669,22/05/2023,Tesouro Selic,01/03/2029,"1,90","0,00","24915,78",C,H
39539790,03/05/2023,Tesouro Selic,01/03/2029,"0,02","0,00","259,96",C,H
16435395,03/05/2023,Tesouro Prefixado com Juros Semestrais,01/01/2033,"0,16","909,40","145,50",C,H
33663475,25/05/2023,Tesouro IPCA+ com Juros Semestrais,15/08/2032,"17,35","4309,88","74776,41",V,H
1484337,08/05/2023,Tesouro Selic,01/03/2026,"2,34","0,00","30751,13",C,H
19693014,04/05/2023,Tesouro Selic,01/03/2029,"0,10","0,00","1300,74",C,H
4156072,31/05/2023,Tesouro Prefixado,01/01/2026,"0,06","763,81","45,82",C,H
27092983,18/05/2023,Tesouro Selic,01/03/2026,"0,02","0,00","264,13",C,H
40916128,23/05/2023,Tesouro Prefixado,01/01/2026,"0,26","755,48","196,42",C,S
9832337,18/05/2023,Tesouro IPCA+ com Juros Semestrais,15/08/2032,"0,01","4300,48","43,00",C,H
25302579,09/05/2023,NTN-B1,15/12/2054,"0,04","1249,84","49,99",C,H
4041928,10/05/2023,Tesouro Prefixado,01/01/2029,"2,04","525,09","1071,18",C,H
1670294,29/05/2023,Tesouro Prefixado,01/01/2029,"18,33","545,34","9996,08",C,H
2709714,09/05/2023,Tesouro Prefixado,01/01/2029,"1,33","526,97","700,87",C,H
9973429,10/05/2023,Tesouro Selic,01/03/2029,"0,65","0,00","8481,79",C,H
8667209,18/05/2023,Tesouro Selic,01/03/2026,"0,50","0,00","6603,28",C,H
4560440,16/05/2023,Tesouro Selic,01/03/2026,"1,28","0,00","16885,64",C,H
43916460,26/05/2023,Tesouro Selic,01/03/2026,"0,01","0,00","132,49",C,H
14031112,09/05/2023,Tesouro Selic,01/03/2026,"0,23","0,00","3024,02",V,H
14372069,09/05/2023,Tesouro Prefixado,01/01/2026,"0,04","750,49","30,01",C,H
